country,city,date,latitude,longitude,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,wind_speed_10m_max,et0_fao_evapotranspiration
Argentina, Buenos Aires,2020-03-16 00:00:00+00:00,-34.6037,-58.3816,20.8675,17.9675,19.33,20.73017,17.501598,19.0739,0.0,16.595179,3.7693713
Argentina, Buenos Aires,2020-03-17 00:00:00+00:00,-34.6037,-58.3816,22.167501,19.2675,20.627916,23.27956,18.981571,21.100119,6.5,28.33957,1.9818424
Argentina, Buenos Aires,2020-03-18 00:00:00+00:00,-34.6037,-58.3816,22.6175,17.9675,20.359167,24.081905,17.83189,20.812916,8.900002,31.353085,2.4556317
Argentina, Buenos Aires,2020-03-19 00:00:00+00:00,-34.6037,-58.3816,22.7175,15.7175,19.073751,21.447632,14.126568,17.952991,0.0,29.827904,3.2362585
Argentina, Buenos Aires,2020-03-20 00:00:00+00:00,-34.6037,-58.3816,26.417501,15.617499,20.438335,27.60779,15.217005,20.976845,0.0,16.92383,4.0690227
Argentina, Buenos Aires,2020-03-21 00:00:00+00:00,-34.6037,-58.3816,26.2675,17.817501,22.179995,28.807182,17.605368,23.40307,0.0,16.676977,4.192243
Argentina, Buenos Aires,2020-03-22 00:00:00+00:00,-34.6037,-58.3816,25.817501,19.167501,22.688334,28.490673,20.222631,23.806929,0.0,15.745627,4.387236
Argentina, Buenos Aires,2020-03-23 00:00:00+00:00,-34.6037,-58.3816,26.8675,20.7175,23.41125,27.545223,19.96523,23.49806,0.0,21.603,5.0250697
Argentina, Buenos Aires,2020-03-24 00:00:00+00:00,-34.6037,-58.3816,28.317501,21.067501,24.034164,30.770695,21.945375,25.232424,0.0,21.533897,4.3259654
Argentina, Buenos Aires,2020-03-25 00:00:00+00:00,-34.6037,-58.3816,25.317501,20.667501,23.236252,27.79676,20.210346,25.198187,2.8,26.183659,1.9542611
Argentina, Buenos Aires,2020-03-26 00:00:00+00:00,-34.6037,-58.3816,24.9675,20.2175,22.255003,26.631252,21.219513,23.403162,0.0,22.104116,2.772455
Argentina, Buenos Aires,2020-03-27 00:00:00+00:00,-34.6037,-58.3816,25.5175,21.917501,23.511248,27.521471,22.600222,25.061125,0.0,17.399586,3.9041688
Argentina, Buenos Aires,2020-03-28 00:00:00+00:00,-34.6037,-58.3816,26.2675,20.667501,23.132082,29.988743,23.37433,25.555344,0.5,16.394829,3.1043994
Argentina, Buenos Aires,2020-03-29 00:00:00+00:00,-34.6037,-58.3816,27.1175,20.9675,23.963333,31.633312,24.003191,27.307106,0.70000005,10.483357,3.246943
Argentina, Buenos Aires,2020-03-30 00:00:00+00:00,-34.6037,-58.3816,25.067501,21.167501,23.169584,27.801937,23.150408,25.545656,0.4,21.288757,2.9875255
Argentina, Buenos Aires,2020-03-31 00:00:00+00:00,-34.6037,-58.3816,23.067501,20.3675,21.823748,24.243399,17.999487,21.419233,3.1999998,38.479603,2.0356488
Argentina, Buenos Aires,2020-04-01 00:00:00+00:00,-34.6037,-58.3816,25.317501,20.8675,22.473747,27.261387,20.664734,23.03177,8.8,31.37168,2.802163
Argentina, Buenos Aires,2020-04-02 00:00:00+00:00,-34.6037,-58.3816,21.167501,14.3175,18.125834,22.112143,10.053968,14.787177,0.5,36.44722,4.13526
Argentina, Buenos Aires,2020-04-03 00:00:00+00:00,-34.6037,-58.3816,20.5175,11.2675,15.894581,22.155338,8.962818,14.3705015,0.0,22.668568,3.4777024
Argentina, Buenos Aires,2020-04-04 00:00:00+00:00,-34.6037,-58.3816,23.817501,16.5175,19.546667,22.398945,15.779276,18.844133,0.0,20.316889,3.7823362
Argentina, Buenos Aires,2020-04-05 00:00:00+00:00,-34.6037,-58.3816,24.167501,16.9675,20.265417,24.268927,16.424305,20.272211,0.0,17.026896,2.7320216
Argentina, Buenos Aires,2020-04-06 00:00:00+00:00,-34.6037,-58.3816,20.4675,14.367499,17.627914,21.068745,10.447983,14.490906,0.0,32.36398,4.1384416
Argentina, Buenos Aires,2020-04-07 00:00:00+00:00,-34.6037,-58.3816,16.9675,8.9175,13.18208,13.633421,5.507923,9.855559,0.0,18.532133,3.0978627
Argentina, Buenos Aires,2020-04-08 00:00:00+00:00,-34.6037,-58.3816,17.4675,9.4175,13.440417,16.107416,6.84383,11.459057,0.0,14.578888,3.0506008
Argentina, Buenos Aires,2020-04-09 00:00:00+00:00,-34.6037,-58.3816,19.417501,10.4675,14.982081,18.361456,8.091003,13.178983,0.0,16.73516,2.8970218
Argentina, Buenos Aires,2020-04-10 00:00:00+00:00,-34.6037,-58.3816,19.567501,12.5175,16.105001,18.778353,11.034084,14.825343,0.0,19.296133,3.02468
Argentina, Buenos Aires,2020-04-11 00:00:00+00:00,-34.6037,-58.3816,21.667501,15.617499,18.000834,21.458704,15.171516,17.283163,0.0,18.448023,2.794034
Argentina, Buenos Aires,2020-04-12 00:00:00+00:00,-34.6037,-58.3816,22.8675,16.5175,19.273748,21.977722,16.243486,18.63656,0.0,18.806337,3.2048104
Argentina, Buenos Aires,2020-04-13 00:00:00+00:00,-34.6037,-58.3816,19.817501,14.7675,18.288334,19.40808,11.777075,17.617018,16.0,29.598919,1.4932399
Argentina, Buenos Aires,2020-04-14 00:00:00+00:00,-34.6037,-58.3816,18.567501,10.1675,13.875832,13.680151,4.6953316,8.988069,4.0,34.22841,3.737275
Argentina, Buenos Aires,2020-04-15 00:00:00+00:00,-34.6037,-58.3816,18.817501,9.1675,13.734166,15.806704,5.1452236,10.441547,0.0,21.749483,3.270885
Argentina, Buenos Aires,2020-04-16 00:00:00+00:00,-34.6037,-58.3816,18.667501,8.1675,13.250834,18.938562,5.9360895,11.882121,0.0,11.570515,2.7533152
Argentina, Buenos Aires,2020-04-17 00:00:00+00:00,-34.6037,-58.3816,18.9675,13.0675,15.890416,19.225357,12.026455,15.44268,0.0,10.787993,2.6197972
Argentina, Buenos Aires,2020-04-18 00:00:00+00:00,-34.6037,-58.3816,22.3675,15.6675,18.38625,21.262121,15.012196,17.738493,0.0,19.559633,2.952302
Argentina, Buenos Aires,2020-04-19 00:00:00+00:00,-34.6037,-58.3816,23.667501,16.917501,19.750834,24.042898,15.6360035,19.224676,0.0,20.833395,3.275144
Argentina, Buenos Aires,2020-04-20 00:00:00+00:00,-34.6037,-58.3816,25.317501,15.9675,20.386251,26.52183,15.702017,20.872803,0.0,14.759999,3.1670315
Argentina, Buenos Aires,2020-04-21 00:00:00+00:00,-34.6037,-58.3816,20.817501,15.5175,17.961248,21.935545,12.421703,16.156008,0.0,25.984917,2.9057908
Argentina, Buenos Aires,2020-04-22 00:00:00+00:00,-34.6037,-58.3816,19.1175,14.8175,16.507082,18.610441,12.400085,14.977158,2.0,20.746122,2.293956
Argentina, Buenos Aires,2020-04-23 00:00:00+00:00,-34.6037,-58.3816,21.167501,17.4675,18.865416,21.780508,16.683914,19.014875,0.0,20.774214,2.2564983
Argentina, Buenos Aires,2020-04-24 00:00:00+00:00,-34.6037,-58.3816,22.7175,19.1175,21.000834,23.95372,19.396595,21.038816,4.3,26.944744,2.073682
Argentina, Buenos Aires,2020-04-25 00:00:00+00:00,-34.6037,-58.3816,21.9675,15.7175,19.034164,24.091679,12.465471,18.84133,21.199999,31.087412,1.2272251
Argentina, Buenos Aires,2020-04-26 00:00:00+00:00,-34.6037,-58.3816,19.4675,16.0175,17.573751,16.51146,13.61661,14.892957,0.70000005,36.04677,2.1549401
Argentina, Buenos Aires,2020-04-27 00:00:00+00:00,-34.6037,-58.3816,21.167501,16.817501,18.398752,20.202,14.054813,16.289434,6.5,32.527744,1.7514796
Argentina, Buenos Aires,2020-04-28 00:00:00+00:00,-34.6037,-58.3816,21.1175,18.167501,19.700834,21.28988,15.094429,18.813675,41.299995,46.44,0.99872243
Argentina, Buenos Aires,2020-04-29 00:00:00+00:00,-34.6037,-58.3816,19.9675,12.5175,16.004997,16.351692,8.619941,12.610984,0.0,27.009598,3.4076304
Argentina, Buenos Aires,2020-04-30 00:00:00+00:00,-34.6037,-58.3816,19.667501,10.4675,14.671665,18.50305,8.593101,13.090011,0.0,15.39184,2.5771637
Argentina, Buenos Aires,2020-05-01 00:00:00+00:00,-34.6037,-58.3816,19.7175,12.2175,15.859166,18.069693,11.911575,14.664411,0.0,23.73271,2.4220173
Argentina, Buenos Aires,2020-05-02 00:00:00+00:00,-34.6037,-58.3816,16.3675,10.2175,13.434166,15.798916,8.367119,12.201515,0.0,15.496736,1.6845858
Argentina, Buenos Aires,2020-05-03 00:00:00+00:00,-34.6037,-58.3816,18.817501,14.4675,16.238333,18.404602,12.638365,14.75019,0.0,22.7057,2.1975315
Argentina, Buenos Aires,2020-05-04 00:00:00+00:00,-34.6037,-58.3816,18.2175,14.0175,16.430002,18.46765,13.845947,16.495977,6.8999996,16.516901,1.0939983
Argentina, Buenos Aires,2020-05-05 00:00:00+00:00,-34.6037,-58.3816,16.3675,11.6675,14.317498,15.780987,6.1151505,10.678138,0.0,42.518116,1.821815
Argentina, Buenos Aires,2020-05-06 00:00:00+00:00,-34.6037,-58.3816,14.5675,8.4175,11.321667,11.68539,4.6717777,7.7868447,0.0,25.305208,1.8269411
Argentina, Buenos Aires,2020-05-07 00:00:00+00:00,-34.6037,-58.3816,16.7175,9.7175,12.927915,13.705992,7.7670746,10.903443,0.0,17.114204,2.1981041
Argentina, Buenos Aires,2020-05-08 00:00:00+00:00,-34.6037,-58.3816,17.1175,9.5175,12.907082,13.776701,6.4761734,10.08134,0.0,22.033648,2.3213594
Argentina, Buenos Aires,2020-05-09 00:00:00+00:00,-34.6037,-58.3816,18.7675,11.4175,14.804999,16.397482,7.569357,11.513878,0.0,26.476522,2.7587473
Argentina, Buenos Aires,2020-05-10 00:00:00+00:00,-34.6037,-58.3816,21.6175,14.4675,17.1925,23.298346,11.5096855,15.422432,0.0,25.277023,2.7299674
Argentina, Buenos Aires,2020-05-11 00:00:00+00:00,-34.6037,-58.3816,18.067501,12.4675,16.232084,17.36731,9.665635,13.550729,0.0,23.042812,3.0421653
Argentina, Buenos Aires,2020-05-12 00:00:00+00:00,-34.6037,-58.3816,16.1175,9.1675,12.325832,15.18729,7.212117,10.815139,0.0,13.849476,1.9528992
Argentina, Buenos Aires,2020-05-13 00:00:00+00:00,-34.6037,-58.3816,17.917501,8.0175,12.671666,15.594925,5.5681133,10.467177,0.2,20.94507,2.1808808
Argentina, Buenos Aires,2020-05-14 00:00:00+00:00,-34.6037,-58.3816,13.5675,5.5675,9.817499,11.3500595,2.9665904,7.358807,0.0,17.309973,1.8763247
Argentina, Buenos Aires,2020-05-15 00:00:00+00:00,-34.6037,-58.3816,19.6175,10.2175,13.540416,16.679796,6.213238,10.134397,0.0,27.288855,2.4026892
Argentina, Buenos Aires,2020-05-16 00:00:00+00:00,-34.6037,-58.3816,23.7675,13.2175,17.450832,22.037228,10.004796,14.66558,0.0,23.565569,3.317138
Argentina, Buenos Aires,2020-05-17 00:00:00+00:00,-34.6037,-58.3816,23.417501,14.2175,18.359167,23.938257,12.70569,17.249706,0.0,22.45315,2.7858467
Argentina, Buenos Aires,2020-05-18 00:00:00+00:00,-34.6037,-58.3816,20.5175,14.1675,16.784166,19.908667,12.137836,15.07156,0.0,22.065973,2.4123309
Argentina, Buenos Aires,2020-05-19 00:00:00+00:00,-34.6037,-58.3816,22.317501,15.2675,18.444582,21.750391,12.6433735,16.641266,0.0,21.707731,2.8708928
Argentina, Buenos Aires,2020-05-20 00:00:00+00:00,-34.6037,-58.3816,22.167501,16.7175,19.113335,22.94374,16.022326,18.706404,3.9,18.64369,1.9713285
Argentina, Buenos Aires,2020-05-21 00:00:00+00:00,-34.6037,-58.3816,18.317501,13.5675,15.848751,19.980019,9.894746,14.0434265,4.4,31.212229,1.0470624
Argentina, Buenos Aires,2020-05-22 00:00:00+00:00,-34.6037,-58.3816,14.8175,12.2175,13.379998,10.077169,7.1899834,8.3263445,0.2,41.39374,1.8551642
Argentina, Buenos Aires,2020-05-23 00:00:00+00:00,-34.6037,-58.3816,15.7675,8.5175,11.857081,13.158007,4.3607273,8.148518,0.0,32.41799,2.002614
Argentina, Buenos Aires,2020-05-24 00:00:00+00:00,-34.6037,-58.3816,16.817501,8.0675,11.463333,11.849775,4.120927,7.544125,0.0,28.04305,2.312396
Argentina, Buenos Aires,2020-05-25 00:00:00+00:00,-34.6037,-58.3816,16.5175,11.9175,14.33625,11.3941765,6.275606,8.861957,0.0,41.054207,3.3703911
Argentina, Buenos Aires,2020-05-26 00:00:00+00:00,-34.6037,-58.3816,16.2675,9.367499,12.442498,15.037514,6.8658466,10.300958,0.0,22.42427,1.7735475
Argentina, Buenos Aires,2020-05-27 00:00:00+00:00,-34.6037,-58.3816,18.917501,10.4175,13.932082,17.053804,8.004513,11.704066,0.0,21.746504,1.9495431
Argentina, Buenos Aires,2020-05-28 00:00:00+00:00,-34.6037,-58.3816,17.1175,12.0175,14.504998,16.832941,10.804622,13.228,0.0,24.130743,1.7712164
Argentina, Buenos Aires,2020-05-29 00:00:00+00:00,-34.6037,-58.3816,17.2675,11.5675,14.752915,17.335634,10.597293,14.2993965,0.0,15.192682,1.4556049
Argentina, Buenos Aires,2020-05-30 00:00:00+00:00,-34.6037,-58.3816,15.867499,10.9175,14.017501,14.327229,5.039978,12.0263605,0.1,31.910301,1.3267998
Argentina, Buenos Aires,2020-05-31 00:00:00+00:00,-34.6037,-58.3816,12.9175,7.0175004,9.6362505,7.280205,0.8918128,3.9191911,0.0,35.893642,2.3416035
Argentina, Buenos Aires,2020-06-01 00:00:00+00:00,-34.6037,-58.3816,13.0175,5.7175,9.452916,9.723669,2.2888126,6.164919,0.0,17.429354,1.6202611
Argentina, Buenos Aires,2020-06-02 00:00:00+00:00,-34.6037,-58.3816,14.3175,5.7175,9.034167,10.9449,3.093422,6.2920146,0.0,16.434305,1.5716882
Argentina, Buenos Aires,2020-06-03 00:00:00+00:00,-34.6037,-58.3816,14.5175,5.9675,10.425834,13.461548,3.851884,8.418496,0.0,15.39184,1.4127119
Argentina, Buenos Aires,2020-06-04 00:00:00+00:00,-34.6037,-58.3816,12.9175,7.1675,10.5737505,11.201279,5.299261,8.950674,0.0,12.620554,1.221706
